index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
54,Raja Rasoi Aur Anya Kahaniyan,TV Show,2014,Docuseries,Netflix,2021-09-15,tt22872396,N/A,N/A,,
55,Numberblocks,TV Show,2021,Kids' TV,Netflix,2021-09-15,tt7978538,8.6,345,,
56,Nightbooks,Movie,2021,Children & Family Movies,Netflix,2021-09-15,tt10521144,5.8,"10,435",N/A,N/A
57,Castle and Castle,TV Show,2021,International TV Shows,Netflix,2021-09-15,,,,,
58,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2006,Action & Adventure,Netflix,2021-09-15,tt1071815,6.3,"4,704",N/A,N/A
59,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2004,Action & Adventure,Netflix,2021-09-15,tt0476680,6.6,"7,852",N/A,N/A
60,Naruto Shippuden: The Movie,Movie,2007,Action & Adventure,Netflix,2021-09-15,tt1999167,7.1,"5,801",N/A,N/A
61,InuYasha the Movie: Affections Touching Across Time,Movie,2001,Action & Adventure,Netflix,2021-09-15,tt0322645,7.2,"2,811",N/A,N/A
62,Dharmakshetra,TV Show,2014,International TV Shows,Netflix,2021-09-15,tt6803712,8.5,410,,
63,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,Action & Adventure,Netflix,2021-09-15,tt0396659,7.6,"2,385",N/A,N/A
64,InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,Action & Adventure,Netflix,2021-09-15,tt0473658,7.2,"1,990",N/A,N/A
65,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,Action & Adventure,Netflix,2021-09-15,tt0366621,7.3,"2,329",N/A,N/A
66,Nailed It,TV Show,2021,Reality TV,Netflix,2021-09-15,tt9042156,7.3,30,N/A,N/A
67,Naruto Shippuden the Movie: Blood Prison,Movie,2011,Action & Adventure,Netflix,2021-09-15,tt1999167,7.1,"5,801",N/A,N/A
68,Naruto Shippûden the Movie: Bonds,Movie,2008,Action & Adventure,Netflix,2021-09-15,tt1160524,6.8,"5,265",N/A,N/A
69,Naruto Shippûden the Movie: The Will of Fire,Movie,2009,Action & Adventure,Netflix,2021-09-15,,,,,
70,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2005,Action & Adventure,Netflix,2021-09-15,tt0791188,6.4,"5,116",N/A,N/A
71,A StoryBots Space Adventure,Movie,2021,Children & Family Movies,Netflix,2021-09-14,tt15166478,N/A,20,N/A,N/A
72,Jack Whitehall: Travels with My Father,TV Show,2021,British TV Shows,Netflix,2021-09-14,tt7453996,7.6,"6,032",,
73,King of Boys,Movie,2018,Dramas,Netflix,2021-09-14,tt8329618,6.2,501,N/A,N/A
74,The World's Most Amazing Vacation Rentals,TV Show,2021,Reality TV,Netflix,2021-09-14,tt14691382,6.8,"1,608",,
75,You vs. Wild: Out Cold,Movie,2021,Children & Family Movies,Netflix,2021-09-14,tt15250050,5.4,437,N/A,N/A
76,Yowamushi Pedal,TV Show,2013,Anime Series,Netflix,2021-09-14,tt2942228,7.7,993,,
77,Tughlaq Durbar (Telugu),Movie,2021,Comedies,Netflix,2021-09-11,,,,,
78,Little Singham - Black Shadow,Movie,2021,Children & Family Movies,Netflix,2021-09-11,,,,,
79,Tughlaq Durbar,Movie,2020,Comedies,Netflix,2021-09-11,tt9769668,5.3,"1,777",N/A,N/A
80,Kate,Movie,2021,Action & Adventure,Netflix,2021-09-10,tt7737528,6.2,"70,436",N/A,N/A
81,Lucifer,TV Show,2021,Crime TV Shows,Netflix,2021-09-10,tt4052886,8.1,"353,697",,
82,Metal Shop Masters,TV Show,2021,Reality TV,Netflix,2021-09-10,tt15216520,5.7,663,,
83,Omo Ghetto: the Saga,Movie,2020,Action & Adventure,Netflix,2021-09-10,tt14099462,7.6,95,N/A,N/A
84,Pokémon Master Journeys: The Series,TV Show,2021,Anime Series,Netflix,2021-09-10,,,,,
85,Prey,Movie,2021,International Movies,Netflix,2021-09-10,tt11866324,7.1,"226,944",N/A,N/A
86,Titipo Titipo,TV Show,2019,Kids' TV,Netflix,2021-09-10,tt12987396,N/A,29,,
87,Firedrake the Silver Dragon,Movie,2021,Children & Family Movies,Netflix,2021-09-10,,,,,
88,Paradise Hills,Movie,2019,Sci-Fi & Fantasy,Netflix,2021-09-09,tt6127004,5.2,"17,445",N/A,N/A
89,The Women and the Murderer,Movie,2021,Documentaries,Netflix,2021-09-09,tt15216504,6.4,"1,575",N/A,N/A
90,Blood Brothers: Malcolm X & Muhammad Ali,Movie,2021,Documentaries,Netflix,2021-09-09,tt15095938,6.9,"1,181",N/A,N/A
91,Mighty Raju,TV Show,2017,Kids' TV,Netflix,2021-09-09,tt6491030,4.8,81,,
92,Into the Night,TV Show,2021,International TV Shows,Netflix,2021-09-08,tt10919486,7.0,"35,978",,
93,JJ+E,Movie,2021,Dramas,Netflix,2021-09-08,tt12299824,5.4,"2,338",N/A,N/A
94,Show Dogs,Movie,2018,Children & Family Movies,Netflix,2021-09-08,tt5691024,4.0,"5,057","$17,857,020",N/A
95,The Circle,TV Show,2021,Reality TV,Netflix,2021-09-08,tt4287320,5.4,"100,019","$20,497,844",N/A
96,Tobot Galaxy Detectives,TV Show,2019,Kids' TV,Netflix,2021-09-07,tt12892186,6.4,23,,
97,Untold: Breaking Point,Movie,2021,Documentaries,Netflix,2021-09-07,tt15101938,7.6,"3,394",N/A,N/A
98,On the Verge,TV Show,2021,TV Comedies,Netflix,2021-09-07,tt5540990,6.5,"3,637",,
99,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2018,Documentaries,Netflix,2021-09-07,tt6214722,7.8,"1,638",N/A,N/A
100,Kid Cosmic,TV Show,2021,Kids' TV,Netflix,2021-09-07,tt9248538,7.9,"1,708",,
101,Octonauts: Above & Beyond,TV Show,2021,British TV Shows,Netflix,2021-09-07,tt15211330,7.3,150,,
102,Countdown: Inspiration4 Mission to Space,TV Show,2021,Docuseries,Netflix,2021-09-06,tt15166116,7.8,"2,086",,
103,Shadow Parties,Movie,2020,Dramas,Netflix,2021-09-06,tt10168094,7.0,12,N/A,N/A
104,Tayo the Little Bus,TV Show,2016,Kids' TV,Netflix,2021-09-06,tt3270208,5.3,185,,
105,Angamaly Diaries,Movie,2017,Action & Adventure,Netflix,2021-09-05,tt6167894,7.9,"6,591",N/A,N/A
106,Bunk'd,TV Show,2021,Kids' TV,Netflix,2021-09-05,tt4591680,5.4,"4,021",,
107,A Champion Heart,Movie,2018,Children & Family Movies,Netflix,2021-09-04,tt4738912,6.0,446,N/A,N/A
108,La casa de papel,TV Show,2021,Crime TV Shows,Netflix,2021-09-03,tt26340796,N/A,17,N/A,N/A
109,Dive Club,TV Show,2021,Kids' TV,Netflix,2021-09-03,tt13275052,6.2,"1,221",,
110,Money Heist: From Tokyo to Berlin,TV Show,2021,Docuseries,Netflix,2021-09-03,tt15384346,7.6,"1,193",,
111,Sharkdog,TV Show,2021,Kids' TV,Netflix,2021-09-03,tt12211696,6.0,227,,
112,Worth,Movie,2021,Dramas,Netflix,2021-09-03,tt8009744,6.8,"18,185",N/A,N/A
113,In the Cut,Movie,2003,Thrillers,Netflix,2021-09-02,tt0199626,5.4,"26,106","$4,750,602",N/A
114,Luv Kushh,TV Show,2012,Kids' TV,Netflix,2021-09-02,tt6536554,N/A,N/A,N/A,N/A
115,Heroes of Goo Jit Zu,TV Show,2021,Kids' TV,Netflix,2021-09-02,tt10589932,7.4,46,,
116,Pororo - The Little Penguin,TV Show,2013,Kids' TV,Netflix,2021-09-02,tt3968668,6.1,134,,
117,Q-Force,TV Show,2021,Crime TV Shows,Netflix,2021-09-02,tt10140028,6.7,"6,490",,
118,Shikara,Movie,2020,Dramas,Netflix,2021-09-02,tt10930586,3.4,"15,452",N/A,N/A
119,Hotel Del Luna,TV Show,2019,International TV Shows,Netflix,2021-09-02,tt10220588,8.1,"13,286",,
120,Dhanak,Movie,2015,Comedies,Netflix,2021-09-02,,,,,
121,Here and There,Movie,2020,Dramas,Netflix,2021-09-02,tt14766058,N/A,88,N/A,N/A
122,Final Account,Movie,2021,Documentaries,Netflix,2021-09-02,tt12789212,7.2,"1,643","$308,976",N/A
123,Bright Star,Movie,2009,Dramas,Netflix,2021-09-02,tt0810784,6.9,"28,649","$4,444,637",N/A
124,Anjaam,Movie,1994,Dramas,Netflix,2021-09-02,tt0109134,6.6,"7,147",N/A,N/A
125,Afterlife of the Party,Movie,2021,Comedies,Netflix,2021-09-02,tt11742798,5.8,"10,627",N/A,N/A
126,Gurgaon,Movie,2017,Dramas,Netflix,2021-09-02,tt4699202,6.4,"2,450",N/A,N/A
127,My Boss's Daughter,Movie,2003,Comedies,Netflix,2021-09-01,tt0270980,4.7,"30,601","$15,550,605",N/A
128,Open Season 2,Movie,2008,Children & Family Movies,Netflix,2021-09-01,tt1107365,5.5,"26,350",N/A,N/A
129,Once Upon a Time in America,Movie,1984,Classic Movies,Netflix,2021-09-01,tt0087843,8.3,"375,767","$5,321,508",N/A
130,Oldsters,TV Show,2019,Crime TV Shows,Netflix,2021-09-01,,,,,
131,Mystery Men,Movie,1999,Action & Adventure,Netflix,2021-09-01,tt0132347,6.1,"70,482","$29,762,011",N/A
132,Major Dad,TV Show,1992,TV Comedies,Netflix,2021-09-01,tt0096643,6.5,"3,129",,
133,Marshall,Movie,2017,Dramas,Netflix,2021-09-01,tt5301662,7.3,"26,798","$10,051,659",N/A
134,Mars Attacks!,Movie,1996,Comedies,Netflix,2021-09-01,tt0116996,6.4,"242,847","$37,781,197",N/A
135,Poseidon,Movie,2006,Action & Adventure,Netflix,2021-09-01,tt0409182,5.7,"110,219","$60,674,817",N/A
136,Love in a Puff,Movie,2010,Comedies,Netflix,2021-09-01,tt1602479,7.1,"2,864",N/A,N/A
137,Love Don't Cost a Thing,Movie,2003,Comedies,Netflix,2021-09-01,tt0337592,5.2,"9,339","$21,924,226",N/A
138,Level 16,Movie,2018,Sci-Fi & Fantasy,Netflix,2021-09-01,tt4006302,6.1,"16,115",N/A,N/A
139,Osmosis Jones,Movie,2001,Action & Adventure,Netflix,2021-09-01,tt0181739,6.3,"38,745","$13,596,911",N/A
140,Snervous Tyler Oakley,Movie,2015,Documentaries,Netflix,2021-09-01,tt5073746,5.5,482,N/A,N/A
141,Same Kind of Different as Me,Movie,2017,Dramas,Netflix,2021-09-01,tt1230168,6.6,"8,540","$6,423,605",N/A
142,School of Rock,Movie,2003,Comedies,Netflix,2021-09-01,tt0332379,7.2,"329,333","$81,261,177",N/A
143,Tears of the Sun,Movie,2003,Action & Adventure,Netflix,2021-09-01,tt0314353,6.6,"130,260","$43,734,876",N/A
144,The Blue Lagoon,Movie,1980,Dramas,Netflix,2021-09-01,tt0080453,5.8,"76,199","$58,853,106",N/A
145,The Golden Child,Movie,1986,Action & Adventure,Netflix,2021-09-01,tt0091129,6.0,"59,276","$79,817,937",N/A
146,The Guns of Navarone,Movie,1961,Action & Adventure,Netflix,2021-09-01,tt0054953,7.5,"55,162",N/A,N/A
147,The Interview,Movie,2014,Action & Adventure,Netflix,2021-09-01,tt2788710,6.5,"352,726","$6,105,175",N/A
148,The Nutty Professor,Movie,1996,Comedies,Netflix,2021-09-01,tt0117218,5.7,"123,340","$128,814,019",N/A
149,The Nutty Professor II: The Klumps,Movie,2000,Comedies,Netflix,2021-09-01,tt7892058,N/A,N/A,N/A,N/A
150,Turning Point: 9/11 and the War on Terror,TV Show,2021,Docuseries,Netflix,2021-09-01,tt15260794,7.9,"11,113",,
