index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
69,Naruto Shippûden the Movie: The Will of Fire,Movie,2009,Action & Adventure,Netflix,2021-09-15,,,,,
70,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2005,Action & Adventure,Netflix,2021-09-15,,,,,
71,A StoryBots Space Adventure,Movie,2021,Children & Family Movies,Netflix,2021-09-14,,,,,
72,Jack Whitehall: Travels with My Father,TV Show,2021,British TV Shows,Netflix,2021-09-14,,,,,
73,King of Boys,Movie,2018,Dramas,Netflix,2021-09-14,,,,,
74,The World's Most Amazing Vacation Rentals,TV Show,2021,Reality TV,Netflix,2021-09-14,,,,,
75,You vs. Wild: Out Cold,Movie,2021,Children & Family Movies,Netflix,2021-09-14,,,,,
76,Yowamushi Pedal,TV Show,2013,Anime Series,Netflix,2021-09-14,,,,,
77,Tughlaq Durbar (Telugu),Movie,2021,Comedies,Netflix,2021-09-11,,,,,
78,Little Singham - Black Shadow,Movie,2021,Children & Family Movies,Netflix,2021-09-11,,,,,
79,Tughlaq Durbar,Movie,2020,Comedies,Netflix,2021-09-11,,,,,
80,Kate,Movie,2021,Action & Adventure,Netflix,2021-09-10,,,,,
81,Lucifer,TV Show,2021,Crime TV Shows,Netflix,2021-09-10,,,,,
82,Metal Shop Masters,TV Show,2021,Reality TV,Netflix,2021-09-10,,,,,
83,Omo Ghetto: the Saga,Movie,2020,Action & Adventure,Netflix,2021-09-10,,,,,
84,Pokémon Master Journeys: The Series,TV Show,2021,Anime Series,Netflix,2021-09-10,,,,,
85,Prey,Movie,2021,International Movies,Netflix,2021-09-10,,,,,
86,Titipo Titipo,TV Show,2019,Kids' TV,Netflix,2021-09-10,,,,,
87,Firedrake the Silver Dragon,Movie,2021,Children & Family Movies,Netflix,2021-09-10,,,,,
88,Paradise Hills,Movie,2019,Sci-Fi & Fantasy,Netflix,2021-09-09,,,,,
89,The Women and the Murderer,Movie,2021,Documentaries,Netflix,2021-09-09,,,,,
90,Blood Brothers: Malcolm X & Muhammad Ali,Movie,2021,Documentaries,Netflix,2021-09-09,,,,,
91,Mighty Raju,TV Show,2017,Kids' TV,Netflix,2021-09-09,,,,,
92,Into the Night,TV Show,2021,International TV Shows,Netflix,2021-09-08,,,,,
93,JJ+E,Movie,2021,Dramas,Netflix,2021-09-08,,,,,
94,Show Dogs,Movie,2018,Children & Family Movies,Netflix,2021-09-08,,,,,
95,The Circle,TV Show,2021,Reality TV,Netflix,2021-09-08,,,,,
96,Tobot Galaxy Detectives,TV Show,2019,Kids' TV,Netflix,2021-09-07,,,,,
97,Untold: Breaking Point,Movie,2021,Documentaries,Netflix,2021-09-07,,,,,
98,On the Verge,TV Show,2021,TV Comedies,Netflix,2021-09-07,,,,,
99,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2018,Documentaries,Netflix,2021-09-07,,,,,
100,Kid Cosmic,TV Show,2021,Kids' TV,Netflix,2021-09-07,,,,,
101,Octonauts: Above & Beyond,TV Show,2021,British TV Shows,Netflix,2021-09-07,,,,,
102,Countdown: Inspiration4 Mission to Space,TV Show,2021,Docuseries,Netflix,2021-09-06,,,,,
103,Shadow Parties,Movie,2020,Dramas,Netflix,2021-09-06,,,,,
104,Tayo the Little Bus,TV Show,2016,Kids' TV,Netflix,2021-09-06,,,,,
105,Angamaly Diaries,Movie,2017,Action & Adventure,Netflix,2021-09-05,,,,,
106,Bunk'd,TV Show,2021,Kids' TV,Netflix,2021-09-05,,,,,
107,A Champion Heart,Movie,2018,Children & Family Movies,Netflix,2021-09-04,,,,,
