platform,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,listed_in2,listed_in3
Disney,s1331,Movie,The Santa Clause,John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, David Krumholtz, Larry Brandenburg","United States, Canada",11/12/2019,1994,PG,98 min,Comedy, Family, Fantasy
Disney,s1332,Movie,The Santa Clause 2,Michael Lembeck,"Tim Allen, Judge Reinhold, Wendy Crewson, Elizabeth Mitchell, David Krumholtz, Eric Lloyd","United States, Canada",11/12/2019,2002,G,106 min,Comedy, Family, Fantasy
Disney,s1333,Movie,The Santa Clause 3: The Escape Clause,Michael Lembeck,"Tim Allen, Elizabeth Mitchell, Judge Reinhold, Wendy Crewson, Ann-Margret , Eric Lloyd","United States, Canada",11/12/2019,2006,G,94 min,Comedy, Family, Fantasy
Disney,s1334,Movie,The Scream Team,Stuart Gillard,"Mark Rendall, Kat Dennings, Robert Bockstael, Eric Idle, Tommy Davidson, Gary Reineke",United States,11/12/2019,2002,TV-PG,88 min,Comedy, Fantasy,
Disney,s1335,Movie,The Secret of the Magic Gourd,"æœ±å®¶æ¬£ , é’Ÿæ™ºè¡Œ","åŠ³å¥•å˜‰ , æœ±ç¥ºéš† , éƒ­å‡¯æ• , éƒ‘å˜‰æ˜Š , å­Ÿè°¦ , é™ˆä½©æ–¯","China, Hong Kong, United States",11/12/2019,2009,G,84 min,Fantasy,,
Disney,s1336,Movie,The Shaggy D.A.,Robert Stevenson,"Dean Jones, Tim Conway, Suzanne Pleshette, Keenan Wynn, Jo Worley, Dick Van Patten",United States,11/12/2019,1976,G,92 min,Comedy, Family, Fantasy
Disney,s1337,Movie,The Shaggy Dog,Charles Barton,"Fred MacMurray, Jean Hagen, Tommy Kirk, Annette Funicello, Tim Considine, Kevin Corcoran",United States,11/12/2019,1959,G,102 min,Comedy, Family, Fantasy
Disney,s1338,Movie,The Sign of Zorro,"Lewis Foster, Norman Foster","Guy Williams, George Lewis, Gene Sheldon, Henry Calvin, Tony Russo, John Dehner",United States,11/12/2019,1960,G,90 min,Action-Adventure, Drama, Family
Disney,s1339,Movie,The Simple Things,Charles Nichols,,United States,11/12/2019,1953,TV-G,8 min,Animation, Comedy, Family
Disney,s1340,Movie,The Sound of Music,Robert Wise,"Julie Andrews, Christopher Plummer, Richard Haydn, Peggy Wood, Evadne Baker, Portia Nelson",United States,11/12/2019,1965,G,175 min,Biographical, Family, Historical
Disney,s1341,Movie,The Story of Robin Hood And His Merrie Men,Ken Annakin,"Richard Todd, Joan Rice, Peter Finch, James Hayter, Martita Hunt, James Justice",United Kingdom,11/12/2019,1952,PG,84 min,Action-Adventure, Family,
Disney,s1342,Movie,The Strongest Man in the World,Vincent McEveety,"Kurt Russell, Joe Flynn, Eve Arden, Cesar Romero, Phil Silvers, Dick Van Patten",United States,11/12/2019,1975,G,92 min,Comedy, Family, Science Fiction
Disney,s1343,Movie,The Suite Life Movie,Sean McNamara,"Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan, Matthew Timmons, John Ducey",United States,11/12/2019,2011,TV-G,81 min,Comedy, Coming of Age,
Disney,s1344,TV Show,The Suite Life of Zack & Cody,,"Cole Sprouse, Dylan Sprouse, Brenda Song, Ashley Tisdale, Phill Lewis, Kim Rhodes",United States,11/12/2019,2004,TV-G,3 Seasons,Action-Adventure, Comedy, Coming of Age
Disney,s1345,TV Show,The Suite Life On Deck,,"Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan, Phill Lewis",United States,11/12/2019,2008,TV-G,3 Seasons,Action-Adventure, Comedy, Coming of Age
Disney,s1346,Movie,The Swap,Jay Karas,"Peyton List, Jacob Bertrand, Darrin Rose, Claire Rankin, Callan Potter, Jesse Bostick",United States,11/12/2019,2016,TV-G,91 min,Comedy, Coming of Age, Fantasy
Disney,s1347,Movie,The Thirteenth Year,Duwayne Dunham,"Chez Starbuck, Dave Coulier, Lisa Sullivan, Justin Ross, Courtnee Draper, Tim Redwine",United States,11/12/2019,1999,TV-G,89 min,ComingofAge, Fantasy,
Disney,s1348,Movie,The Three Caballeros,"Norman Ferguson, Clyde Geronimi, Jack Kinney","Aurora Miranda, Carmen Molina, Sterling Holloway, Clarence Nash, Joaquin Garay, Jose Oliveira",United States,11/12/2019,1945,G,72 min,Animation, Family, Musical
Disney,s1349,Movie,The Three Musketeers,Stephen Herek,"Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt, Tim Curry, Rebecca De Mornay","Austria, United Kingdom, United States",11/12/2019,1993,PG,106 min,Action-Adventure, Comedy, Family
Disney,s1350,Movie,The Tigger Movie,Jun Falkenstein,"Jim Cummings, Nikita Hopkins, Ken Sansom, John Fiedler, Peter Cullen, Andre Stojka","United States, Japan",11/12/2019,2000,G,81 min,Action-Adventure, Animation, Kids
Disney,s1351,Movie,The Tortoise and the Hare,Wilfred Jackson,,United States,11/12/2019,1935,TV-G,9 min,Animation, Family, Sports
Disney,s1352,Movie,The Ugly Dachshund,Norman Tokar,"Dean Jones, Suzanne Pleshette, Charlie Ruggles, Kelly Thordsen, Parley Baer, Robert Kino",United States,11/12/2019,1966,TV-G,93 min,Animals&Nature, Comedy, Family
Disney,s1353,Movie,The Ugly Duckling,Jack Cutting,,United States,11/12/2019,1939,TV-Y7,9 min,Animation, Family,
Disney,s1354,Movie,The Ultimate Christmas Present,Greg Beeman,"Hallee Hirsh, Spencer Breslin, Hallie Todd, Brenda Song, John Salley, Susan Ruttan","Canada, United States",11/12/2019,2000,TV-G,81 min,Comedy, Coming of Age, Fantasy
Disney,s1355,Movie,The Vanishing Prairie,James Algar,Winston Hibler,United States,11/12/2019,1954,G,71 min,Animals&Nature, Documentary, Family
Disney,s1356,Movie,The Wild,Steve Williams,"Kiefer Sutherland, Jim Belushi, Eddie Izzard, Janeane Garofalo, William Shatner, Richard Kind","Canada, United States",11/12/2019,2006,G,86 min,Action-Adventure, Animation, Comedy
Disney,s1357,Movie,The Wise Little Hen,Wilfred Jackson,"Clarence Nash, Florence Gill",United States,11/12/2019,1934,TV-G,8 min,Animation, Family, Kids
Disney,s1358,Movie,The Wizards Return: Alex vs. Alex,Victor Gonzalez,"Selena Gomez, Jake T. Austin, Jennifer Stone, Gregg Sulkin, Beau Mirchoff, Maria Canals-Barrera",United States,11/12/2019,2013,TV-G,59 min,Comedy, Coming of Age, Fantasy
Disney,s1359,TV Show,The World According to Jeff Goldblum,,Jeff Goldblum,United States,11/12/2019,2019,TV-PG,2 Seasons,Docuseries,,
Disney,s1360,Movie,The Young Black Stallion,Simon Wincer,"Richard Romanus, Biana Tamimi, Patrick Elyas, Gerard Rudolf, Ali Ameri, Andries Rossouw",United States,11/12/2019,2003,G,51 min,Action-Adventure, Animals & Nature, Drama
Disney,s1361,Movie,Three Blind Mouseketeers,Dave Hand,"Pinto Colvig, Billy Bletcher",United States,11/12/2019,1936,TV-Y7,9 min,Animation, Family, Parody
Disney,s1362,Movie,Three Days,Michael Switzer,,United States,11/12/2019,2001,TV-G,93 min,Drama, Fantasy,
Disney,s1363,Movie,Three Little Pigs,Burt Gillett,"Billy Bletcher, Pinto Colvig, Dorothy Compton, Mary Moder",United States,11/12/2019,1933,TV-Y7,9 min,Animation, Family, Kids
Disney,s1364,Movie,Three Little Wolves,Dave Hand,,United States,11/12/2019,1936,TV-Y7,9 min,Animation, Family,
Disney,s1365,Movie,Three Men and a Baby,Leonard Nimoy,"Tom Selleck, Steve Guttenberg, Ted Danson, Margaret Colin, Celeste Holm, Nancy Travis","United States, France",11/12/2019,1987,PG,103 min,Buddy, Comedy,
