platform,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,listed_in2,listed_in3
Disney,s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",,11/26/2021,2016,TV-G,23 min,Animation, Family,
Disney,s2,Movie,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",,11/26/2021,1988,PG,91 min,Comedy,,
Disney,s3,Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",United States,11/26/2021,2011,TV-G,23 min,Animation, Comedy, Family
Disney,s4,Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",,11/26/2021,2021,TV-PG,41 min,Musical,,
Disney,s5,TV Show,The Beatles: Get Back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",,11/25/2021,2021,,1 Season,Docuseries, Historical, Music
Disney,s6,Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",United States,11/24/2021,2021,PG-13,94 min,Biographical, Documentary,
Disney,s7,TV Show,Hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",,11/24/2021,2021,TV-14,1 Season,Action-Adventure, Superhero,
Disney,s8,TV Show,Port Protection Alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",United States,11/24/2021,2015,TV-14,2 Seasons,Docuseries, Reality, Survival
Disney,s9,TV Show,Secrets of the Zoo: Tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",United States,11/24/2021,2019,TV-PG,2 Seasons,Animals&Nature, Docuseries, Family
Disney,s10,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,11/19/2021,2008,G,45 min,Comedy, Family, Musical
Disney,s11,Movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",,11/19/2021,2020,TV-PG,59 min,Documentary,,
Disney,s12,Movie,Puppy for Hanukkah,,,,11/19/2021,2020,TV-G,4 min,Comedy, Family, Music
Disney,s13,Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,11/19/2021,2007,G,91 min,Documentary, Family,
Disney,s14,TV Show,"Dr. Oakley, Yukon Vet",,"Dr. Michelle Oakley, Zachary Fine",United States,11/17/2021,2013,TV-PG,10 Seasons,Action-Adventure, Animals & Nature, Docuseries
Disney,s15,Movie,America the Beautiful,,Michael B. Jordan,,11/12/2021,2021,TV-PG,2 min,Animals&Nature,,
Disney,s16,Movie,Baymax!,,,,11/12/2021,2021,TV-G,1 min,Animation,,
Disney,s17,Movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",,11/12/2021,2021,TV-PG,8 min,Animation, Comedy, Family
Disney,s18,TV Show,Disney Fancy Nancy,,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath","United States, Canada",11/12/2021,2018,TV-PG,3 Seasons,Animation, Kids,
Disney,s19,TV Show,Disney Intertwined,,"Carolina Domenech, JosÃ© JimÃ©nez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",,11/12/2021,2021,TV-PG,1 Season,Comedy, Coming of Age, Drama
Disney,s20,Movie,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",United States,11/12/2021,2007,PG,110 min,Comedy, Family, Fantasy
Disney,s21,Movie,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,11/12/2021,2014,G,8 min,Animation, Comedy, Drama
Disney,s22,Movie,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",United States,11/12/2021,2015,G,11 min,Animation, Family, Fantasy
Disney,s23,Movie,Get a Horse!,Lauren MacMullan,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",United States,11/12/2021,2013,G,7 min,Action-Adventure, Animation, Comedy
Disney,s24,Movie,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",United States,11/12/2021,2021,PG,95 min,Comedy, Family,
Disney,s25,Movie,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",United States,11/12/2021,2021,PG-13,129 min,Action-Adventure, Comedy, Family
Disney,s26,Movie,Limitless with Chris Hemsworth,,Chris Hemsworth,,11/12/2021,2021,TV-14,2 min,Lifestyle,,
Disney,s27,Movie,Marvel Studiosâ€™ 2021 Disney+ Day Special,,,,11/12/2021,2021,TV-PG,14 min,Movies,,
Disney,s28,Movie,Obi-Wan Kenobi,,,,11/12/2021,2021,TV-PG,1 min,Action-Adventure, Science Fiction,
Disney,s29,TV Show,Olaf Presents,,Josh Gad,,11/12/2021,2021,TV-PG,1 Season,Animation, Family,
Disney,s30,Movie,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",United States,11/12/2021,2012,G,7 min,Animation, Comedy, Family
Disney,s31,Movie,Pixar 2021 Disney+ Day Special,,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",,11/12/2021,2021,G,5 min,Movies,,
Disney,s32,Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","United States, Australia",11/12/2021,2021,PG-13,134 min,Action-Adventure, Fantasy, Superhero
Disney,s33,Movie,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",,11/12/2021,2021,TV-G,94 min,ComingofAge, Music,
Disney,s34,Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,11/12/2021,2012,G,9 min,Animation, Family,
Disney,s35,Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,,11/12/2021,2011,G,8 min,Animation, Family, Fantasy
Disney,s36,Movie,The Little Matchgirl,Roger Allers,,United States,11/12/2021,2006,G,7 min,Animation, Drama,
Disney,s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",,11/12/2021,2021,TV-PG,30 min,ConcertFilm, Music,
Disney,s38,Movie,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",,11/12/2021,2021,TV-G,1 min,Animation, Comedy, Coming of Age
Disney,s39,Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",,11/12/2021,2021,TV-PG,6 min,Animation, Comedy,
Disney,s40,Movie,Tick Tock Tale,Dean Wellins,,United States,11/12/2021,2010,G,6 min,Animation, Crime, Family
Disney,s41,Movie,Under the Helmet: The Legacy of Boba Fett,,,,11/12/2021,2021,TV-PG,22 min,ScienceFiction,,
Disney,s42,Movie,Willow,,,,11/12/2021,2021,TV-PG,3 min,Action-Adventure, Fantasy,
Disney,s43,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,11/5/2021,2011,G,87 min,Comedy, Family, Music
Disney,s44,Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,11/5/2021,1996,PG,90 min,Comedy, Family,
Disney,s45,Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,11/5/2021,2014,PG,91 min,Comedy, Family,
Disney,s46,Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",,11/5/2021,2010,TV-G,8 min,Animation, Family, Fantasy
Disney,s47,Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada",11/5/2021,2009,G,93 min,Comedy, Fantasy, Kids
Disney,s48,Movie,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",United States,11/5/2021,2008,G,91 min,Action-Adventure, Comedy, Kids
Disney,s49,Movie,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey","United States, Canada",11/5/2021,2009,G,87 min,Action-Adventure, Comedy, Kids
Disney,s50,Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,11/5/2021,2010,G,101 min,Drama, Family, Fantasy
Disney,s51,Movie,X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult","United States, United Kingdom",11/5/2021,2011,PG-13,132 min,Action-Adventure, Science Fiction, Superhero
Disney,s52,TV Show,Disney Amphibia,,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song","United States, South Korea",11/3/2021,2018,TV-Y7,3 Seasons,Animation, Comedy, Family
Disney,s53,TV Show,Photo Ark,,Joel Sartore,United States,11/3/2021,2017,TV-PG,1 Season,Animals&Nature, Docuseries, Family
Disney,s54,TV Show,Storm Rising,,,,11/3/2021,2021,TV-14,1 Season,Action-Adventure, Animals & Nature, Docuseries
Disney,s55,Movie,Bob Ballard: An Explorer's Life,,,,10/29/2021,2021,TV-PG,44 min,Biographical, Documentary,
Disney,s56,Movie,"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",United States,10/29/2021,2015,PG,131 min,Drama, Sports,
Disney,s57,Movie,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,10/22/2021,1993,PG,104 min,Comedy, Family, Sports
Disney,s58,Movie,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars","Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",10/22/2021,1994,G,87 min,Animation, Family, Fantasy
Disney,s59,TV Show,PJ Masks,,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley","France, United Kingdom",10/20/2021,2015,TV-Y7,5 Seasons,Action-Adventure, Animation, Kids
Disney,s60,TV Show,The Wild Life of Dr. Ole,,,,10/20/2021,2021,TV-PG,1 Season,Animals&Nature, Reality,
Disney,s61,Movie,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,,10/15/2021,2021,TV-PG,44 min,Documentary, Historical,
Disney,s62,Movie,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,,10/15/2021,2021,TV-PG,44 min,Documentary,,
Disney,s63,TV Show,Apollo: Back To The Moon,,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",,10/13/2021,2019,TV-PG,1 Season,Docuseries, Historical,
Disney,s64,TV Show,Just Beyond,,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",,10/13/2021,2021,TV-PG,1 Season,Anthology, Comedy, Coming of Age
Disney,s65,TV Show,Secrets Of The Zoo: Down Under,,Naomi Watts,,10/13/2021,2020,TV-14,2 Seasons,Animals&Nature, Docuseries, Family
Disney,s66,TV Show,Secrets of the Zoo: North Carolina,,,,10/13/2021,2020,TV-14,1 Season,Reality,,
Disney,s67,TV Show,The Wizard of Paws,,,,10/13/2021,2021,TV-PG,1 Season,Animals&Nature, Docuseries, Medical
Disney,s68,TV Show,Zombies: Addison's Moonstone Mystery,,,,10/13/2021,2020,TV-G,1 Season,Animation, Coming of Age, Fantasy
Disney,s69,Movie,Just Roll With It: You Decide Live!,,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-SymonÃ©",,10/8/2021,2019,G,52 min,Comedy,,
Disney,s70,Movie,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",,10/8/2021,2021,TV-Y,47 min,Animation, Family, Fantasy
Disney,s71,Movie,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",,10/8/2021,2021,TV-PG,53 min,Comedy, Family, Musical
Disney,s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",,10/8/2021,2021,TV-PG,85 min,Family, Variety,
Disney,s73,Movie,Under Wraps,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",,10/8/2021,2021,TV-G,92 min,Action-Adventure, Comedy, Kids
Disney,s74,TV Show,Among the Stars,,Chris Cassidy,,10/6/2021,2021,TV-PG,1 Season,Docuseries,,
Disney,s75,Movie,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",United States,10/6/2021,2021,PG-13,135 min,Action-Adventure, Science Fiction, Spy/Espionage
Disney,s76,TV Show,Drain the Oceans,,Russell Boulter,"United Kingdom, Australia",10/6/2021,2017,TV-PG,4 Seasons,Docuseries, Historical,
Disney,s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,,Kerry Shale,,10/6/2021,2021,TV-14,1 Season,Docuseries, Historical,
Disney,s78,Movie,Fauci,"John Hoffman, Janet Tobias","Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley",United States,10/6/2021,2021,PG-13,105 min,Biographical, Documentary,
Disney,s79,TV Show,IMPACT with Gal Gadot,,Gal Gadot,United States,10/6/2021,2021,TV-14,1 Season,Docuseries,,
Disney,s80,TV Show,The Ghost and Molly McGee,,"Ashly Burch, Dana Snyder",United States,10/6/2021,2021,TV-Y7,1 Season,Animation, Buddy, Coming of Age
Disney,s81,Movie,Alvin and the Chipmunks,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",United States,10/1/2021,2007,PG,91 min,Animation, Comedy, Family
Disney,s82,Movie,Alvin and the Chipmunks: The Road Chip,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",United States,10/1/2021,2015,PG,92 min,Comedy, Family, Music
Disney,s83,Movie,LEGO Star Wars Terrifying Tales,Ken Cunningham,"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall",,10/1/2021,2021,TV-Y7-FV,47 min,Action-Adventure, Animation, Science Fiction
Disney,s84,Movie,Maleficent,Robert Stromberg,"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple","United States, United Kingdom",10/1/2021,2014,PG,99 min,Action-Adventure, Family, Fantasy
Disney,s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor",,10/1/2021,2017,TV-G,22 min,Animation, Family, Parody
Disney,s86,TV Show,Disney Vampirina,,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield","Ireland, United States",9/29/2021,2017,TV-Y7,3 Seasons,Animation, Fantasy, Kids
Disney,s87,TV Show,Disney's Magic Bake-Off,,"Issac Ryan Brown, Dara ReneÃ©, Graciela Gomez",United States,9/29/2021,2021,TV-G,1 Season,Family, Game Show / Competition,
Disney,s88,TV Show,Great Barrier Reef,,Don Halbert,,9/29/2021,2020,TV-PG,1 Season,Animals&Nature, Docuseries,
Disney,s89,TV Show,Ready for Preschool,,,,9/29/2021,2019,TV-Y,2 Seasons,Kids, Music,
Disney,s90,TV Show,Rolie Polie Olie,,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson","Canada, United States, France",9/29/2021,1998,TV-Y,5 Seasons,Animation, Science Fiction,
Disney,s91,TV Show,Star Wars Galaxy of Sounds,,,,9/29/2021,2021,TV-PG,1 Season,Animation, Anthology, Science Fiction
Disney,s92,TV Show,The Hatcher Family Dairy,,,,9/29/2021,2021,TV-14,1 Season,Animals&Nature, Docuseries, Reality
Disney,s93,TV Show,The Simpsons,,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",United States,9/29/2021,1989,TV-PG,32 Seasons,Animation, Comedy,
Disney,s94,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,9/24/2021,2021,TV-PG,88 min,Documentary,,
Disney,s95,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada",9/24/2021,2011,G,93 min,Comedy, Fantasy, Kids
Disney,s96,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,9/24/2021,2014,PG-13,127 min,ComingofAge, Drama, Romance
Disney,s97,TV Show,Dog: Impossible,,Matt Beisner,United States,9/22/2021,2019,TV-PG,2 Seasons,Animals&Nature, Docuseries, Family
Disney,s98,TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,9/22/2021,2021,TV-Y,1 Season,Action-Adventure, Animation, Kids
Disney,s99,TV Show,Star Wars: Visions,,,,9/22/2021,2021,TV-PG,1 Season,Action-Adventure, Animation, Anime
Disney,s100,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,9/17/2021,2009,PG,106 min,Comedy, Romance, Romantic Comedy
Disney,s101,Movie,Descendants: Royal Wedding,Salvador SimÃ³,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",,9/17/2021,2021,TV-G,22 min,Animation, Fantasy, Musical
Disney,s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",,9/17/2021,2016,TV-G,116 min,ConcertFilm, Music,
Disney,s103,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,,9/17/2021,2021,TV-PG,44 min,Documentary,,
Disney,s104,Movie,Jade Eyed Leopard,,Jeremy Irons,,9/17/2021,2020,TV-PG,44 min,Animals&Nature, Documentary,
Disney,s105,Movie,Nona,Louis Gonzales,,,9/17/2021,2021,G,9 min,Animation, Comedy, Family
Disney,s106,Movie,Smoky Mountain Park Rangers,,Peter Jessop,,9/17/2021,2021,TV-PG,42 min,Animals&Nature, Documentary,
Disney,s107,TV Show,Life Below Zero,,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",United States,9/15/2021,2012,TV-14,16 Seasons,Action-Adventure, Animals & Nature, Docuseries
Disney,s108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen","France, South Korea, Japan, United States",9/15/2021,2015,TV-Y7,1 Season,Action-Adventure, Animation, Fantasy
Disney,s109,TV Show,Unknown Waters with Jeremy Wade,,Jeremy Wade,,9/15/2021,2021,TV-14,1 Season,Animals&Nature, Docuseries,
Disney,s110,Movie,Far Away From Ravenâ€™s Home,,"Raven-SymonÃ©, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",,9/10/2021,2021,TV-G,11 min,Comedy,,
Disney,s111,Movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, PenÃ©lope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin","United States, United Kingdom",9/10/2021,2011,PG-13,140 min,Action-Adventure, Fantasy,
Disney,s112,Movie,Twenty Something,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",United States,9/10/2021,2021,PG,11 min,Animation, Family,
Disney,s113,TV Show,"Doogie Kamealoha, M.D.",,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",United States,9/8/2021,2021,TV-PG,1 Season,Comedy, Coming of Age, Family
Disney,s114,TV Show,"Mira, Royal Detective",,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",United States,9/8/2021,2020,TV-Y,2 Seasons,Animation, Fantasy, Kids
Disney,s115,TV Show,Pepper Ann,,"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams",United States,9/8/2021,1997,TV-Y,3 Seasons,Animation, Comedy, Coming of Age
Disney,s116,TV Show,The Incredible Dr. Pol,,"Rick Robles, Dr. Pol",United States,9/8/2021,2011,TV-14,19 Seasons,Animals&Nature, Docuseries, Family
Disney,s117,Movie,Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne","Billie Eilish, FINNEAS",United States,9/3/2021,2021,TV-14,66 min,ConcertFilm, Music,
Disney,s118,Movie,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan","United States, Canada",9/3/2021,2019,PG-13,115 min,Action-Adventure, Family, Science Fiction
Disney,s119,TV Show,Alaska Animal Rescue,,Victoria Vosburg,United States,9/1/2021,2019,TV-PG,2 Seasons,Animals&Nature, Docuseries, Family
Disney,s120,TV Show,Dug Days,,"Bob Peterson, Ed Asner, Jordan Nagai",United States,9/1/2021,2021,TV-PG,1 Season,Animation, Comedy, Family
Disney,s121,Movie,Cruella,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste","United States, United Kingdom",8/27/2021,2021,PG-13,137 min,Crime, Drama,
Disney,s122,Movie,Dan in Real Life,Peter Hedges,"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill",United States,8/27/2021,2007,PG-13,99 min,Comedy, Drama, Romance
Disney,s123,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,"Txunamy Oriz, Natalie Peyser, Dara ReneÃ©, Frankie Rodriguez, Julia Lester, Ruth Righi",,8/27/2021,2021,TV-G,22 min,Family, Music, Variety
Disney,s124,Movie,Marvel One-Shot: All Hail the King,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado",United States,8/27/2021,2014,TV-14,14 min,Comedy, Drama, Thriller
Disney,s125,Movie,Underdog,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,8/27/2021,2007,PG,85 min,Action-Adventure, Family, Parody
Disney,s126,TV Show,Dr. K's Exotic Animal ER,,"Dr. Susan Kelleher, Art Edmonds",,8/25/2021,2014,TV-14,9 Seasons,Animals&Nature, Docuseries, Family
Disney,s127,TV Show,Gigantosaurus,,"Dylan Schombing, Ãine Sunderland, Nahanni Mitchell, Nicholas Holmes",France,8/25/2021,2018,TV-Y,2 Seasons,Action-Adventure, Animation, Kids
Disney,s128,TV Show,Life Below Zero: Next Generation,,Mocean Melvin,United States,8/25/2021,2020,TV-14,2 Seasons,Action-Adventure, Animals & Nature, Docuseries
Disney,s129,Movie,Eragon,Stefen Fangmeier,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Garrett Hedlund","United States, United Kingdom, Hungary",8/20/2021,2006,PG,104 min,Action-Adventure, Family, Fantasy
Disney,s130,TV Show,Growing Up Animal,,Tracee Ellis Ross,,8/18/2021,2021,TV-PG,1 Season,Animals&Nature, Docuseries, Family
Disney,s131,Movie,Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington","United States, Germany",8/13/2021,2005,PG-13,106 min,Action-Adventure, Family, Science Fiction
Disney,s132,Movie,X-Men,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",United States,8/13/2021,2000,PG-13,105 min,Action-Adventure, Family, Science Fiction
Disney,s133,TV Show,America's Funniest Home Videos: Animal Edition,,Alfonso Ribeiro,,8/11/2021,2021,TV-PG,1 Season,Reality,,
Disney,s134,TV Show,Chicken Squad,,"Ramone Hamilton, Gabriella Graves, Maxwell Simkins, Yvette Nicole Brown",United States,8/11/2021,2021,TV-Y,1 Season,Animation, Kids, Police/Cop
Disney,s135,TV Show,Disney Presents Goofy in How to Stay at Home,,"Bill Farmer, Corey Burton",,8/11/2021,2021,TV-G,1 Season,Animation, Comedy, Family
Disney,s136,TV Show,Gabby Duran And The Unsittables,,"Kylie Cantrall, Maxwell Donovan, Callan Farris, Coco Christo, Valery Ortiz, Nathan Lovejoy",United States,8/11/2021,2018,TV-G,2 Seasons,Comedy, Family, Science Fiction
Disney,s137,TV Show,What If...?,,,,8/11/2021,2021,TV-14,1 Season,Action-Adventure, Animation, Anthology
Disney,s138,Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas",United States,8/6/2021,2011,G,88 min,Action-Adventure, Comedy, Family
Disney,s139,Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,"George Lopez, Odette Annable, Ernie Hudson, Miguel Ferrer, Kay Panabaker, Tom Kenny",United States,8/6/2021,2012,G,92 min,Comedy, Coming of Age, Family
Disney,s140,Movie,Killer Shark vs Killer Whale,,Edward Marcoux,,8/6/2021,2021,TV-14,44 min,Animals&Nature, Documentary,
Disney,s141,Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",United States,8/6/2021,1993,PG-13,126 min,Comedy, Drama,
